房源编号,城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,采暖
BAOJI2565755045589565440,宝鸡,金台区,上马营,上馬营東二小區,48㎡,整租,南,700元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2565727007472091136,宝鸡,渭滨区,石坝河,龙山雅居,54㎡,整租,东南,800元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,18层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2563669428277616640,宝鸡,渭滨区,桥南,房开路2号小区,110㎡,整租,南/北,1000元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2565922393889439744,宝鸡,渭滨区,高新区,尚浦锦园,96㎡,整租,南,800元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,26层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2565019854293966848,宝鸡,渭滨区,清姜,长岭祥和小区,68㎡,整租,南/北,900元/月,年付价,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2536044518612926464,宝鸡,渭滨区,火车站,金陵新村二区,42㎡,整租,南/北,500元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2527446761585786880,宝鸡,金台区,上马营,東一小區,53㎡,整租,南/北,750元/月,,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2514244891253407744,宝鸡,渭滨区,火车站,陕建七公司家属院,50㎡,整租,南,600元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,4层,无,暂无数据,民水,暂无数据,无,自采暖
BAOJI2499944810987921408,宝鸡,渭滨区,桥南,中国中铁一局五公司家属院,41㎡,整租,南,450元/月,半年付价,1室,0厅,1卫,随时入住,1年以内,需提前预约,高楼层,4层,无,租用车位,暂无数据,暂无数据,有,暂无数据
BAOJI2565853590292013056,宝鸡,渭滨区,火车站,万达新村,70㎡,整租,南/北,850元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
