所在城市,所在区县,所在街道或地区,小区名称,面积,租赁方式,朝向,月租,计费方式,室,厅,卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,采暖
宝鸡,金台,上马营,上馬营東二小區,48,整租,南,700,半年付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,石坝河,龙山雅居,54,整租,东,800,,1,1,1,随时入住,暂无数据,需提前预约,低楼层,18,有,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,桥南,房开路2号小区,110,整租,南,1000,,3,2,2,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
宝鸡,渭滨,高新区,尚浦锦园,96,整租,南,800,,2,2,1,随时入住,暂无数据,需提前预约,中楼层,26,有,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,清姜,长岭祥和小区,68,整租,南,900,年付价,2,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,火车站,金陵新村二区,42,整租,南,500,,1,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,東一小區,53,整租,南,750,,2,1,1,随时入住,1年以内,需提前预约,中楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,火车站,陕建七公司家属院,50,整租,南,600,,1,1,1,随时入住,暂无数据,需提前预约,中楼层,4,无,暂无数据,民水,暂无数据,无,自采暖
宝鸡,渭滨,桥南,中国中铁一局五公司家属院,41,整租,南,450,半年付价,1,0,1,随时入住,1年以内,需提前预约,高楼层,4,无,租用车位,暂无数据,暂无数据,有,暂无数据
宝鸡,渭滨,火车站,万达新村,70,整租,南,850,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,石坝河,宝鸡文理学院家属院,60,整租,东,900,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,7,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,清姜,长岭安居小区,77,整租,东,800,,2,2,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,火车站,新华巷,60,整租,南,500,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,7,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
宝鸡,渭滨,清姜,清姜路宝桥社区,61,整租,南,700,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,6,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,新福路,豪城天下A东,66,整租,南,650,,2,1,1,随时入住,1年以内,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,火车站,渭工路44号楼,83,整租,南,850,半年付价,2,2,1,随时入住,1年以内,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,东站东区,66,整租,南,600,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,大庆路,宝鸡供电局东区家属院,68,整租,南,800,,2,1,1,随时入住,暂无数据,需提前预约,低楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,凌云花园小区,102,整租,南,1000,半年付价,2,1,1,随时入住,3年以内,需提前预约,高楼层,6,无,租用车位,民水,民电,有,集中供暖
宝鸡,金台,上马营,电气化社区,56,整租,南,600,,1,1,1,随时入住,暂无数据,需提前预约,高楼层,5,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,群众路,永兴巷45号,63,整租,南,600,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
宝鸡,渭滨,桥南,陕西二建集团广元路22号院,88,整租,南,1000,,3,2,1,随时入住,1年以内,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,清姜,长岭祥和小区,65,整租,南,750,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,6,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,石坝河,龙山雅居,60,整租,东,950,,1,1,1,随时入住,暂无数据,需提前预约,中楼层,26,有,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,大庆路,油毡厂小区,45,整租,南,600,半年付价,1,1,1,随时入住,2年以内,需提前预约,中楼层,4,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
宝鸡,渭滨,高新区,阳光上东,18,整租,南,800,,1,1,1,随时入住,暂无数据,需提前预约,中楼层,18,有,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,宝石东厂社区,40,整租,东,600,,1,1,1,随时入住,暂无数据,需提前预约,中楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,高新区,阳光上东,40,整租,南,800,,1,1,1,随时入住,暂无数据,需提前预约,低楼层,18,有,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,高新区,阳光上东,40,整租,南,950,,1,1,1,随时入住,暂无数据,需提前预约,高楼层,18,有,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,高新区,阳光上东,40,整租,北,900,,1,1,1,随时入住,暂无数据,需提前预约,中楼层,18,有,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,大庆路,宏文路68号院,50,整租,南,650,,2,1,1,暂无数据,暂无数据,暂无数据,中楼层,5,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,高新区,宏运警苑,37,整租,东,1000,,1,1,1,随时入住,暂无数据,需提前预约,中楼层,13,无,暂无数据,民水,民电,有,集中供暖
